time (s),0.1m,0.2m,0.3m,0.5m,0.7m,1m,2m,3.5m
0,-28,-31,-30,-41,-42,-47,-53,-58
0.5,-27,-31,-32,-38,-40,-53,-43,-71
1,-28,-31,-32,-43,-41,-49,-46,-64
1.5,-28,-31,-31,-37,-40,-49,-47,-65
2,-27,-32,-31,-37,-40,-48,-48,-63
2.5,-29,-32,-35,-37,-37,-65,-44,-61
3,-28,-32,-31,-36,-38,-54,-47,-73
3.5,-29,-33,-33,-40,-36,-53,-46,-61
4,-27,-31,-31,-36,-37,-54,-50,-62
4.5,-28,-33,-32,-39,-36,-57,-47,-63
5,-27,-31,-31,-35,-38,-52,-51,-57
5.5,-30,-33,-33,-39,-36,-58,-57,-66
6,-26,-31,-30,-36,-39,-51,-49,-58
6.5,-29,-34,-31,-39,-37,-55,-58,-67
7,-26,-31,-30,-36,-38,-50,-46,-68
7.5,-29,-34,-32,-38,-42,-52,-57,-59
8,-26,-32,-30,-37,-38,-49,-47,-71
8.5,-28,-33,-30,-38,-41,-49,-52,-56
9,-27,-32,-30,-36,-37,-48,-45,-72
9.5,-28,-33,-32,-37,-38,-52,-52,-59
10,-28,-32,-30,-37,-33,-48,-46,-66
10.5,-27,-31,-31,-37,-37,-51,-50,-59
11,-28,-32,-31,-38,-37,-49,-45,-62
11.5,-28,-31,-31,-37,-37,-55,-50,-60
12,-28,-33,-32,-38,-37,-50,-44,-58
12.5,-27,-31,-31,-36,-37,-55,-52,-65
13,-30,-33,-34,-37,-38,-50,-46,-57
13.5,-27,-32,-31,-36,-37,-55,-52,-61
14,-30,-33,-34,-38,-38,-48,-45,-64
14.5,-27,-31,-30,-38,-38,-50,-47,-59
15,-28,-35,-34,-38,-38,-56,-47,-64
15.5,-27,-31,-31,-38,-39,-50,-47,-61
16,-29,-33,-33,-37,-40,-53,-55,-66
16.5,-26,-31,-31,-39,-38,-50,-43,-59
17,-28,-32,-31,-37,-40,-51,-53,-63
17.5,-26,-31,-31,-38,-39,-49,-44,-60
18,-28,-32,-31,-38,-41,-50,-54,-59
18.5,-27,-31,-32,-37,-39,-51,-43,-60
19,-28,-31,-31,-37,-39,-49,-50,-57
19.5,-27,-32,-32,-38,-37,-53,-44,-62
20,-27,-30,-31,-36,-39,-49,-47,-62
20.5,-27,-32,-33,-38,-33,-48,-44,-59
21,-27,-31,-31,-37,-39,-52,-46,-97
21.5,-28,-32,-35,-37,-38,-64,-45,-61
22,-27,-31,-31,-36,-39,-52,-45,-60
22.5,-28,-33,-33,-39,-39,-66,-45,-67
23,-27,-31,-31,-37,-39,-50,-47,-58
23.5,-30,-33,-32,-38,-39,-59,-53,-65
24,-27,-31,-30,-37,-39,-51,-46,-58
24.5,-30,-34,-31,-38,-39,-56,-53,-65
25,-26,-31,-30,-37,-40,-53,-44,-58
25.5,-28,-35,-31,-38,-39,-51,-51,-64
26,-26,-31,-30,-39,-39,-49,-43,-62
26.5,-29,-33,-30,-39,-42,-49,-51,-71
27,-27,-32,-30,-38,-39,-49,-42,-60
27.5,-27,-33,-32,-37,-41,-52,-49,-59
28,-27,-32,-29,-37,-38,-48,-42,-61
28.5,-28,-32,-31,-38,-40,-47,-46,-59
29,-29,-32,-31,-37,-38,-48,-43,-59
29.5,-27,-32,-31,-36,-40,-54,-46,-56
30,-29,-32,-32,-36,-38,-52,-43,-60
30.5,-28,-31,-30,-37,-41,-50,-46,-60
31,-29,-33,-32,-36,-39,-49,-44,-66
31.5,-27,-31,-31,-36,-39,-52,-46,-41
32,-30,-33,-35,-36,-39,-61,-44,-69
32.5,-27,-31,-30,-37,-39,-49,-46,-59
33,-29,-35,-34,-40,-39,-54,-44,-74
33.5,-27,-31,-30,-38,-39,-47,-43,-59
34,-29,-34,-33,-39,-43,-63,-52,-66
34.5,-27,-31,-30,-38,-40,-42,-42,-58
35,-27,-33,-31,-38,-41,-61,-52,-62
35.5,-26,-31,-30,-38,-39,-43,-42,-58
36,-28,-32,-30,-38,-40,-54,-52,-58
36.5,-27,-31,-30,-36,-39,-44,-43,-63
37,-27,-31,-31,-38,-40,-52,-51,-57
37.5,-27,-31,-31,-36,-38,-44,-43,-62
38,-28,-32,-31,-37,-40,-52,-48,-58
38.5,-27,-31,-31,-36,-38,-46,-43,-61
39,-27,-31,-32,-37,-40,-49,-45,-60
39.5,-29,-32,-31,-36,-37,-52,-44,-61
40,-28,-31,-35,-36,-39,-48,-46,-60
