time [s],0.25,0.5,.75,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,7.5,10.0
0,-51,-59,-70,-65,-80,-72,-68,-71,-82,-89,-98,-76,-80,-102
0.5,-48,-59,-51,-63,-89,-78,-77,-69,-104,-78,-73,-74,-84,-100
1,-49,-58,-58,-69,-73,-74,-75,-72,-75,-81,-74,-74,-77,-87
1.5,-46,-58,-58,-68,-81,-81,-73,-71,-76,-75,-78,-101,-82,-87
2,-49,-63,-59,-65,-67,-72,-77,-83,-88,-105,-76,-81,-83,-99
2.5,-49,-58,-60,-74,-103,-71,-76,-84,-80,-72,-72,-73,-79,-99
3,-51,-59,-68,-65,-79,-71,-70,-71,-79,-72,-83,-83,-78,-101
3.5,-44,-59,-60,-66,-69,-66,-65,-70,-83,-80,-75,-82,-73,-98
4,-48,-59,-62,-76,-96,-73,-88,-76,-81,-76,-75,-79,-87,-111
4.5,-48,-60,-71,-70,-85,-67,-78,-76,-74,-77,-75,-80,-75,-87
5,-50,-65,-61,-67,-73,-80,-78,-83,-83,-81,-99,-81,-79,-108
5.5,-48,-59,-56,-70,-76,-70,-71,-75,-86,-76,-80,-75,-74,-87
6,-50,-60,-61,-60,-79,-75,-71,-69,-75,-100,-88,-75,-73,-91
6.5,-47,-59,-57,-40,-76,-67,-66,-70,-77,-81,-74,-84,-75,-93
7,-48,-57,-58,-67,-74,-74,-91,-75,-88,-76,-103,-75,-80,-89
7.5,-48,-63,-53,-72,-70,-69,-79,-74,-78,-76,-74,-78,-74,-110
8,-48,-66,-62,-65,-75,-89,-74,-104,-106,-78,-86,-95,-77,-91
8.5,-44,-65,-57,-67,-74,-72,-78,-79,-100,-73,-94,-80,-82,-86
9,-49,-61,-62,-62,-79,-71,-78,-71,-75,-72,-76,-73,-76,-85
9.5,-45,-60,-60,-63,-74,-68,-68,-73,-104,-81,-74,-76,-76,-82
10,-43,-57,-59,-70,-70,-71,-79,-71,-107,-83,-86,-74,-83,-97
10.5,-51,-59,-72,-69,-73,-80,-80,-86,-103,-75,-86,-79,-90,-103
11,-43,-60,-64,-65,-72,-73,-71,-77,-80,-76,-88,-84,-75,-88
11.5,-47,-64,-59,-66,-72,-66,-97,-78,-73,-79,-82,-78,-103,-103
12,-46,-58,-59,-65,-74,-70,-76,-69,-75,-74,-76,-75,-82,-95
